Parent_Femelle;Parent_Male;N_Fleurs_Polli;N_Fruit_tot;N_Fruit_avorte;N_Fruit_norm;N_Graine;Date_Polli;Date_Comptage;Etat;Qui
PIS19;PIS36;8;0;0;0;/;20/06/2024;11/09/2024;good;Robin
PIS36;PIS31;3;3;0;3;6+3+1;20/06/2024;29/07/2024;NA;Robin
SC2;PIS31;5;0;0;0;/;20/06/2024;29/07/2024;NA;Robin
SC2;PIS31;4;0;0;0;/;20/06/2024;29/07/2024;NA;Robin
SC2;PIS31;3;0;0;0;/;20/06/2024;29/07/2024;NA;Robin
SC2;PIS31;8;0;0;0;/;20/06/2024;29/07/2024;NA;Robin
PIS10;PIS33;8;0;0;0;/;08/05/2024;17/06/2024;NA;Robin
PIS19;PIS40;3;1;0;1;NA;08/05/2024;13/06/2024;dead;Robin
PIS19;PIS40;8;4;0;4;NA+NA+NA+NA;08/05/2024;13/06/2024;dead;Robin
PIS19;PIS40;4;3;0;3;NA+NA+NA;08/05/2024;17/06/2024;NA;Robin
PIS31;PIS33;9;0;0;0;/;08/05/2024;30/05/2024;NA;Robin
PIS31;PIS33;6;0;0;0;/;08/05/2024;30/05/2024;NA;Robin
PIS31;PIS33;5;0;0;0;/;08/05/2024;30/05/2024;NA;Robin
PIS33;SC2;9;1;0;1;NA;08/05/2024;17/06/2024;dead;Robin
PIS36;PIS19;6;3;0;3;2+NA+NA;08/05/2024;17/06/2024;dead;Robin
PIS36;PIS19;4;3;0;3;10+11+17;08/05/2024;17/06/2024;NA;Robin
PIS36;PIS19;8;7;0;7;NA+13+7+5+4+14+16;08/05/2024;30/05/2024;NA;Robin
PIS36;PIS40;7;0;0;0;/;08/05/2024;17/06/2024;NA;Robin
PIS36;PIS40;5;0;0;0;/;08/05/2024;17/06/2024;NA;Robin
PIS36;PIS40;4;0;0;0;/;08/05/2024;17/06/2024;NA;Robin
PIS36;PIS40;4;1;0;1;4;08/05/2024;17/06/2024;dead;Robin
PIS36 ;PIS31;3;2;0;2;8+6;08/05/2024;13/06/2024;broken;Robin
SC2;PIS33;2;0;0;0;/;08/05/2024;30/05/2024;dead;Robin
SC2;PIS33;5;0;0;0;/;08/05/2024;30/05/2024;dead;Robin
PIS14;SC2;6;1;1;0;/;02/05/2024;30/05/2024;dead;Robin
PIS14;SC2;6;1;1;0;/;02/05/2024;30/05/2024;NA;Robin
PIS14;SC2;8;3;3;0;/;02/05/2024;30/05/2024;NA;Robin
PIS31;PIS19;4;4;0;4;NA+NA+NA+NA;02/05/2024;13/06/2024;dead;Robin
PIS31;PIS36;8;1;0;1;8;02/05/2024;30/05/2024;broken;Robin
PIS31;PIS36;10;2;0;2;NA+NA;02/05/2024;11/09/2024;dead;Robin
PIS31;PIS40;7;1;0;1;NA;02/05/2024;13/06/2024;dead;Robin
PIS36;PIS31;8;5;0;5;2+4+9+6+5;02/05/2024;17/06/2024;NA;Robin
PIS40;PIS14;3;0;0;0;/;02/05/2024;17/06/2024;NA;Robin
PIS40;PIS14;11;1;0;1;NA;02/05/2024;17/06/2024;dead;Robin
SC2;PIS40;11;1;0;1;5;02/05/2024;30/05/2024;dead;Robin
PIS31;PIS40;5;0;0;0;/;30/04/2024;30/05/2024;NA;Robin
PIS14;PIS40;9;2;0;2;12+7;29/04/2024;13/06/2024;NA;Robin
PIS14;PIS40;8;3;0;3;10+10+21;29/04/2024;13/06/2024;NA;Robin
PIS14;PIS40;3;2;0;2;NA+NA;29/04/2024;13/06/2024;dead;Robin
PIS19;PIS31;2;1;0;1;NA;29/04/2024;13/06/2024;dead;Robin
PIS19;PIS31;5;3;0;3;NA+NA+NA;29/04/2024;13/06/2024;dead;Robin
PIS31;PIS14;4;3;0;3;NA+NA+NA;29/04/2024;13/06/2024;dead;Robin
PIS31;PIS19;8;0;0;0;/;29/04/2024;13/06/2024;NA;Robin
PIS31;PIS19;8;0;0;0;/;29/04/2024;13/06/2024;NA;Robin
PIS31;PIS36;6;1;0;1;1;29/04/2024;13/06/2024;NA;Robin
PIS31;PIS36;6;2;0;2;2+1;29/04/2024;13/06/2024;dead;Robin
PIS19;PIS31;3;2;0;2;7+7;17/04/2024;13/06/2024;dead;Robin
PIS31;PIS14;8;4;0;4;10+9+9+5;26/03/2024;30/05/2024;good;Robin
SC2;PIS14;11;2;0;2;16+11;26/03/2024;30/05/2024;dead;Robin
PIS31;PIS14;8;2;0;2;6+3;25/03/2024;30/05/2024;good;Robin
SC2;PIS14;9;0;0;0;/;25/03/2024;30/05/2024;good;Robin
PIS10;PIS19;7;5;0;5;NA+NA+NA+NA+NA;21/03/2024;11/04/2024;dead;Robin
PIS10;PIS19;7;5;0;5;NA+NA+NA+NA+NA;21/03/2024;11/04/2024;dead;Robin
PIS14;PIS19;2;0;0;0;/;21/03/2024;29/04/2024;good;Robin
PIS14;PIS19;10;1;1;0;/;21/03/2024;30/05/2024;good;Robin
PIS14;PIS31;3;0;0;0;/;21/03/2024;29/04/2024;good;Robin
PIS14;PIS31;7;1;1;0;3;21/03/2024;30/05/2024;dead;Robin
PIS14;PIS31;10;4;0;4;6+11+6+5;21/03/2024;30/05/2024;good;Robin
PIS14;PIS36;9;0;0;0;/;21/03/2024;30/05/2024;dead;Robin
PIS14;PIS36;4;0;0;0;/;21/03/2024;30/05/2024;dead;Robin
PIS14;PIS36;8;2;0;2;9+2;21/03/2024;30/05/2024;good;Robin
PIS19;PIS14;9;0;0;0;/;21/03/2024;15/04/2024;good;Robin
PIS19;PIS14;14;0;0;0;/;21/03/2024;30/05/2024;good;Robin
PIS36;PIS10;7;2;0;2;13+14;21/03/2024;30/05/2024;good;Robin
PIS36;PIS10;3;1;0;1;6;21/03/2024;30/05/2024;good;Robin
PIS19;PIS33;11;6;1;5;22+4+5+9+17;14/03/2024;15/04/2024;good;Robin
PIS19;PIS33;6;4;1;3;5+6+22;14/03/2024;15/04/2024;good;Robin
PIS31;PIS40;8;0;0;0;/;14/03/2024;25/03/2024;good;Robin
PIS40;PIS10;8;0;0;0;/;14/03/2024;25/03/2024;good;Robin
PIS40;PIS14;6;0;0;0;/;14/03/2024;15/04/2024;good;Robin
PIS19;PIS33;10;8;0;8;9+1+35+3+25+11+25+24;11/03/2024;15/04/2024;good;Robin
PIS19;PIS40;5;2;0;2;4+12;11/03/2024;15/04/2024;good;Robin
PIS36;PIS14;22;9;3;6;12+15+10+10+8+13;11/03/2024;15/04/2024;good;Robin
PIS10;PIS14;5;3;0;3;34+26+29;01/03/2024;11/04/2024;dead;Robin
PIS10;PIS19;7;6;0;6;41+41+33+35+19+15;01/03/2024;11/04/2024;dead;Robin
PIS14;PIS10;7;5;0;5;16+4+14+6+5;01/03/2024;11/04/2024;good;Robin
PIS14;PIS10;9;7;3;4;14+13+0+0+NA+NA+NA;01/03/2024;11/04/2024;good;Robin
PIS14;PIS10;5;4;0;4;8+9+20+14;01/03/2024;11/04/2024;good;Robin
PIS14;PIS19;8;3;3;0;NA+NA;01/03/2024;11/04/2024;good;Robin
PIS33;PIS14;2;2;0;2;NA+NA;01/03/2024;11/04/2024;dead;Robin
PIS14;PIS33;9;2;0;2;29+13;29/02/2024;11/04/2024;good;Robin
PIS14;PIS33;11;4;0;4;10+9+7+2;29/02/2024;11/04/2024;dead;Robin
PIS30;PIS19;6;0;NA;NA;NA;30/11/2022;NA;NA;Corentin+Pauline
PIS29;PIS21;17;0;NA;NA;NA;22/10/2022;NA;NA;Corentin+Pauline
PIS34;PIS21;17;2;NA;NA;8+1;22/10/2022;NA;NA;Corentin+Pauline
PIS36;PIS21;12;1;NA;NA;1;22/10/2022;NA;NA;Corentin+Pauline
PIS36;PIS30;9;1;NA;NA;10;22/10/2022;NA;NA;Corentin+Pauline
PIS38;PIS19;14;3;NA;NA;25+11+29;22/10/2022;NA;NA;Corentin+Pauline
PIS38;PIS21;18;4;NA;NA;41;22/10/2022;NA;NA;Corentin+Pauline
PIS38;PIS30;13;6;NA;NA;30+6+14+11+8+3;22/10/2022;NA;NA;Corentin+Pauline
PIS38;PIS33;14;2;NA;NA;6;22/10/2022;NA;NA;Corentin+Pauline
PIS38;PIS34;8;0;NA;NA;NA;22/10/2022;NA;NA;Corentin+Pauline
PIS40;PIS19;4;0;NA;NA;NA;22/10/2022;NA;NA;Corentin+Pauline
PIS40;PIS21;12;0;NA;NA;NA;22/10/2022;NA;NA;Corentin+Pauline
PIS14;PIS21;8;0;NA;NA;NA;14/10/2022;NA;NA;Corentin+Pauline
PIS33;PIS14;10;5;NA;NA;22+20+13+11+24;14/10/2022;NA;NA;Corentin+Pauline
PIS38;PIS14;6;2;NA;NA;5+0;14/10/2022;NA;NA;Corentin+Pauline
PIS38;PIS33;10;1;NA;NA;NA;14/10/2022;NA;NA;Corentin+Pauline
PIS38;PIS36;3;2;NA;NA;13+3;14/10/2022;NA;NA;Corentin+Pauline
PIS19;PIS10;2;0;NA;NA;NA;30/09/2022;NA;NA;Corentin+Pauline
PIS33;PIS10;12;1;NA;NA;8;30/09/2022;NA;NA;Corentin+Pauline
PIS33;PIS40;17;3;NA;NA;NA;30/09/2022;NA;NA;Corentin+Pauline
PIS34;PIS40 ;7;1;NA;NA;NA;30/09/2022;NA;NA;Corentin+Pauline
PIS40;PIS10;12;4;NA;NA;NA;30/09/2022;NA;NA;Corentin+Pauline
PIS10;PIS30;12;0;NA;NA;NA;12/05/2022;NA;NA;Corentin+Pauline
PIS29;PIS10;19;7;NA;NA;NA;12/05/2022;NA;NA;Corentin+Pauline
PIS29;PIS30;9;0;NA;NA;NA;12/05/2022;NA;NA;Corentin+Pauline
PIS33;PIS38;6;0;NA;NA;NA;12/05/2022;NA;NA;Corentin+Pauline
PIS34;PIS10;12;4;NA;NA;NA;12/05/2022;NA;NA;Corentin+Pauline
PIS34;PIS33;7;4;NA;NA;NA;12/05/2022;NA;NA;Corentin+Pauline
PIS34;PIS34;9;0;NA;NA;NA;12/05/2022;NA;NA;Corentin+Pauline
PIS36;PIS10;10;0;NA;NA;NA;12/05/2022;NA;NA;Corentin+Pauline
PIS36;PIS29;2;1;NA;NA;NA;11/05/2022;NA;NA;Corentin+Pauline
PIS40;PIS29;11;2;NA;NA;8;10/05/2022;NA;NA;Corentin+Pauline
PIS21;PIS36;4;1;NA;NA;NA;25/03/2022;NA;NA;Corentin+Pauline
PIS21;PIS31;5;0;NA;NA;NA;24/03/2022;NA;NA;Corentin+Pauline
PIS21;PIS19;6;0;NA;NA;NA;23/03/2022;NA;NA;Corentin+Pauline
PIS21;PIS36;4;NA;NA;NA;NA;14/02/2022;NA;NA;Corentin+Pauline
PIS33;PIS21;2;0;NA;NA;NA;14/02/2022;NA;NA;Corentin+Pauline
PIS33;PIS36;3;1;NA;NA;5+ 18 rachitique + 1 germés;14/02/2022;NA;NA;Corentin+Pauline
PIS36;PIS21;2;1;NA;NA;NA;14/02/2022;NA;NA;Corentin+Pauline
PIS23;PIS21;11;9;NA;NA;4+0+4+6+10+11+10+20+0;26/05/2021;NA;NA;Pauline
PIS23;PIS10;11;11;NA;NA;5+0+0+0+15+15+15+15+15+15+15;28/04/2021;NA;NA;Pauline
PIS23;PIS9;17;4;NA;NA;0+0+1+6;28/04/2021;NA;NA;Pauline
PIS10;PIS14;19;9;NA;NA;27+5+24+11+1+7+17+40+42;NA;NA;NA;Pauline
PIS10;PIS21;2;2;NA;NA;NA;NA;NA;NA;Corentin+Pauline
PIS10;PIS9;23;0;NA;NA;NA;NA;NA;NA;Pauline
PIS19;PIS17;9;1;NA;NA;NA;NA;NA;NA;Pauline
PIS19;PIS21;22;0;NA;NA;NA;NA;NA;NA;Pauline
PIS19;PIS23;14;NA;NA;NA;NA;NA;NA;NA;Pauline
PIS19;PIS31;10;2;NA;NA;NA;NA;NA;NA;Pauline
PIS19;PIS36;12;1;NA;NA;NA;NA;NA;NA;Corentin+Pauline
PIS19;PIS6;20;0;NA;NA;NA;NA;NA;NA;Pauline
PIS19;PIS9;20;1;NA;NA;NA;NA;NA;NA;Pauline
PIS19;SC2;8;0;NA;NA;NA;NA;NA;NA;NA
PIS21;PIS10;22;0;NA;NA;NA;NA;NA;NA;Pauline
PIS21;PIS6;23;0;NA;NA;NA;NA;NA;NA;Pauline
PIS21;PIS9;24;0;NA;NA;NA;NA;NA;NA;Pauline
PIS23;PIS14;20;8;NA;NA;6+3+6+16+11+9+6+10;NA;NA;NA;Pauline
PIS23;PIS17;21;11;NA;NA;3+3+3+0+0;NA;NA;NA;Pauline
PIS23;PIS19;13;3;NA;NA;28+15+6;NA;NA;NA;Pauline
PIS26;PIS9;12;8;NA;NA;15+22+15+17+24+12+20;NA;NA;NA;Pauline
PIS29;PIS38;5;0;NA;NA;NA;NA;NA;NA;Corentin+Pauline
PIS30;PIS10;3;0;NA;NA;NA;NA;NA;NA;Corentin+Pauline
PIS31;PIS32;20;0;NA;NA;NA;NA;NA;NA;Pauline
PIS32;PIS10;12;5;NA;NA;14+4+12+11+18;NA;NA;NA;Pauline
PIS34;PIS30;9;0;NA;NA;NA;NA;NA;NA;Corentin+Pauline
PIS36;PIS19;2;0;NA;NA;NA;NA;NA;NA;Corentin+Pauline
PIS36;PIS31;9;1;NA;NA;15;NA;NA;NA;Corentin+Pauline
PIS38;SC2;18;4;NA;NA;5+9+4+4;NA;NA;NA;NA
PIS40;PIS36;8;NA;NA;NA;NA;NA;NA;NA;Corentin+Pauline
PIS40;SC2;6;1;NA;NA;17;NA;NA;NA;NA
PIS6;PIS14;14;1;NA;NA;13;NA;NA;NA;Pauline
PIS9;PIS10;20;2;NA;NA;7;NA;NA;NA;Pauline
PIS9;PIS14;20;6;NA;NA;9+11+25+3+0+0 ;NA;NA;NA;Pauline
PIS9;PIS17;20;4;NA;NA;0+25+3+11;NA;NA;NA;Pauline
PIS9;PIS6;7;NA;NA;NA;NA;NA;NA;NA;Pauline
